date,state,positive,negative,recovered,death,deathIncrease,negativeIncrease,positiveIncrease,total,posNeg,state_ch,state_en
3.16,WV,0,80,0,0,0,42,0,84,80,西弗吉尼亚州,Wst Virginia
3.16,WY,3,0,0,0,0,0,0,3,3,怀俄明州,Wyoming
3.17,AK,3,334,0,0,0,191,2,337,337,阿拉斯加州,Alaska
3.17,AL,36,28,0,0,0,0,8,64,64,阿拉巴马州,Alabama
3.17,AR,22,197,0,0,0,65,0,260,219,阿肯色州,Arkansas
3.17,AZ,20,142,0,0,0,17,2,228,162,亚利桑那州,Arizona
3.17,CA,483,7981,0,11,5,0,148,8464,8464,加利福尼亚州,California
3.17,CO,160,1056,0,1,0,429,29,1216,1216,科罗拉多州,Colorado
3.17,CT,41,125,0,0,0,0,15,166,166,康涅狄格州,Connecticut
3.17,DE,16,36,0,0,0,0,8,52,52,特拉华州,Delaware
3.17,FL,186,940,0,6,2,256,45,1998,1126,佛罗里达州,Florida
3.17,GA,146,0,0,1,0,0,25,146,146,乔治亚州（佐治亚州）,Georgia
3.17,HI,10,0,0,0,0,0,3,10,10,夏威夷州,Hawaii
3.17,IA,23,83,0,0,0,0,1,106,106,爱荷华州（艾奥瓦州）（衣阿华州）,Iowa
3.17,ID,7,346,0,0,0,81,2,353,353,爱达荷州,Idaho
3.17,IL,159,1340,0,1,1,408,66,1499,1499,伊利诺斯州,Illinois
3.17,IN,30,129,0,2,1,14,6,159,159,印第安纳州,Indiana
3.17,KS,15,382,0,1,0,216,4,397,397,堪萨斯州,Kansas
3.17,KY,22,295,0,1,0,61,1,317,317,肯塔基州,Kentucky
3.17,LA,137,286,0,4,2,98,22,423,423,路易斯安那州,Louisiana
3.17,MA,118,1633,0,0,0,434,21,1751,1751,马萨诸塞州（麻省、麻州）,Massachusetts
3.17,MD,57,94,0,0,0,0,20,151,151,马里兰州,Maryland
3.17,ME,32,1303,0,0,0,539,15,1335,1335,缅因州,Maine
3.17,MI,2393,626,0,0,0,354,460,3019,3019,密歇根州（密执安州）,Michigan
3.17,MN,60,2276,0,0,0,437,6,2336,2336,明尼苏达州,Minnesota
3.17,MO,8,207,0,0,0,43,2,215,215,密苏里州,Missouri
3.17,MS,21,368,0,0,0,91,9,389,389,密西西比州,Mississippi
3.17,MT,8,303,0,0,0,105,1,311,311,蒙大拿州,Montana
3.17,NC,40,474,0,0,0,178,7,514,514,北卡罗来纳州,North Carolina
3.17,ND,3,220,0,0,0,97,2,223,223,北达科他州,North Dakota
3.17,NE,21,206,0,0,0,36,3,227,227,内布拉斯加州,Nebraska
3.17,NH,17,355,0,0,0,84,4,567,372,新罕布什尔州（新罕布夏州）,New Hampshire Hampshire
3.17,NJ,267,163,0,3,1,43,89,485,430,新泽西州,New Jersey
3.17,NM,23,1249,0,0,0,683,6,1272,1272,新墨西哥州,New Mexico
3.17,NV,55,168,0,1,0,0,10,223,223,内华达州,Nevada
3.17,NY,1700,5506,0,7,0,963,750,7206,7206,纽约州,New York
3.17,OH,67,140,0,0,0,0,17,207,207,俄亥俄州,Ohio
3.17,OK,17,247,0,0,0,73,7,346,264,俄克拉荷马州,Oklahoma
3.17,OR,47,689,0,0,0,110,8,920,736,俄勒冈州,Oregon
3.17,PA,96,879,0,0,0,209,20,975,975,宾夕法尼亚州,Pennsylvania
3.17,RI,23,403,0,0,0,95,2,575,426,罗得岛州（罗德岛州）,Rhode Island
3.17,SC,33,311,0,1,0,76,5,344,344,南卡罗来纳州,South Carolina
3.17,SD,11,551,0,0,0,57,1,597,562,南达科他州,South Dakota
3.17,TN,73,330,0,0,0,60,21,403,403,田纳西州,Tennessee
3.17,TX,64,1204,0,1,1,1204,7,1268,1268,得克萨斯州,Texas
3.17,UT,51,131,0,0,0,0,12,182,182,犹他州,Utah
3.17,VA,67,961,0,1,0,523,16,1028,1028,弗吉尼亚州,Virginia
3.17,VT,10,495,0,0,0,74,2,505,505,佛蒙特州,Vermont
3.17,WA,1240,27368,0,78,9,4388,173,28608,28608,华盛顿州,Washington
3.17,WI,72,1038,0,0,0,534,25,1110,1110,威斯康辛州（威斯康星州）,Wisconsin
3.17,WV,0,80,0,0,0,0,0,84,80,西弗吉尼亚州,Wst Virginia
3.17,WY,10,95,0,0,0,95,7,105,105,怀俄明州,Wyoming
3.18,AK,6,406,0,0,0,72,3,412,412,阿拉斯加州,Alaska
3.18,AL,46,28,0,0,0,0,10,74,74,阿拉巴马州,Alabama
3.18,AR,33,236,0,0,0,39,11,319,269,阿肯色州,Arkansas
